star_id,mission,label,orbital_period,transit_duration,transit_depth,planet_radius,impact_parameter,transit_snr,mes,stellar_teff,stellar_logg,stellar_radius,mag
BD+20 594,K2,CONFIRMED,41.688644,,,2.35545351,,,,5703.0,4.38,0.956122,
EPIC 201111557,K2,CANDIDATE,2.30183,,,1.12,,,,4616.52,4.53679,0.762602,
EPIC 201126503,K2,CANDIDATE,1.1947488,,,4.19,,,,3919.0,,0.57,
EPIC 201127519,K2,CANDIDATE,6.178369,,,9.91257877,,,,5015.0,4.67,0.789478,
EPIC 201147085,K2,CANDIDATE,1.17589,,,0.86,,,,,,0.309,
EPIC 201152065,K2,CANDIDATE,10.6966,,,1.45,,,,,,0.588,
EPIC 201160662,K2,CANDIDATE,1.5374115,,,45.0,,,,,,1.599,
EPIC 201164625,K2,CANDIDATE,2.71189,,,4.34,,,,6402.0,3.54386,3.16745,
K2-243,K2,CANDIDATE,18.10549,,,2.09985108,,,,6213.0,4.32,1.224685,
EPIC 201170410,K2,CONFIRMED,6.7987,,,1.047,,,,3648.0,4.999,0.282,
EPIC 201176672,K2,CANDIDATE,79.9999,,,10.2,,,,4542.0,4.747,0.508,
EPIC 201180665,K2,CANDIDATE,17.77297,,,26.44,,,,5847.0,4.26659,1.25428,
EPIC 201182911,K2,CANDIDATE,0.99656225,,,32.8,,,,3727.0,,0.5,
EPIC 201197348,K2,CANDIDATE,14.912381,,,3.55,,,,4224.0,,0.65,
EPIC 201231940,K2,CANDIDATE,0.57303573,,,3.35,,,,3570.0,,0.43,
EPIC 201238110,K2,CONFIRMED,28.1656,,,1.87,,,,,,,
EPIC 201238163,K2,CANDIDATE,1.0829614,,,1.56,,,,3875.0,,0.56,
EPIC 201239401,K2,CANDIDATE,0.905655,,,1.57,,,,,,0.576,
EPIC 201247497,K2,CANDIDATE,2.7541129,,,4.87,,,,3834.0,,0.55,
EPIC 201257461,K2,FALSE_POSITIVE,50.285869,,,3.47,,,,4859.0,,0.74,
EPIC 201258341,K2,CANDIDATE,10.50439,,,1.75,,,,,,0.878,
EPIC 201259803,K2,CANDIDATE,1.684208,,,5.51,,,,,,0.431,
EPIC 201264302,K2,CANDIDATE,0.2122013,,,0.519,,,,,,0.188,
EPIC 201270176,K2,CANDIDATE,1.5778643,,,7.55,,,,4811.0,,0.73,
HIP 55390,K2,CANDIDATE,1.57771549,,,,,,,7333.0,3.83915,2.56752,
EPIC 201274010,K2,CANDIDATE,13.0113,,,2.43,,,,5347.0,4.51267,0.880221,
EPIC 201291843,K2,CANDIDATE,40.70206194,,,,,,,3759.0,4.67427,0.572892,
EPIC 201299088,K2,CANDIDATE,21.204739,,,9.11013939,,,,5154.0,3.91,1.761722,
EPIC 201324549,K2,FALSE_POSITIVE,2.519334,,,3.91,,,,6283.0,4.17,1.45,
EPIC 201352100,K2,CANDIDATE,13.383629,,,2.87289326,,,,5216.0,4.7,0.815235,
EPIC 201357835,K2,CANDIDATE,11.8951,,,,,,,5040.0,,0.68,
EPIC 201359834,K2,CANDIDATE,40.1401,,,20.8,,,,,,0.716,
EPIC 201366540,K2,CANDIDATE,7.4433,,,2.73,,,,,,0.724,
EPIC 201390927,K2,CANDIDATE,2.638,,,2.91,,,,4264.47,,,
EPIC 201392505,K2,CANDIDATE,27.47083,,,3.36,,,,4947.03,4.59659,0.749863,
EPIC 201407812,K2,CANDIDATE,2.8268121,,,40.1,,,,5736.0,,0.98,
EPIC 201427007,K2,CONFIRMED,0.72091,,,1.5,,,,5633.0,4.4,0.94,
EPIC 201441872,K2,CANDIDATE,4.44044,,,1.32,,,,,,1.053,
EPIC 201445732,K2,CANDIDATE,11.20381,,,2.18,,,,,,1.1,
EPIC 201456770,K2,CANDIDATE,8.006875,,,2.384,,,,5403.0,4.538,0.846,
HIP 54766,K2,CANDIDATE,3.3643115,,,85.6,,,,6240.0,,1.32,
EPIC 201497682,K2,CONFIRMED,2.13174,,,0.692,,,,,,,
EPIC 201512465,K2,CANDIDATE,2.3330982,,,5.48,,,,3726.0,,0.5,
EPIC 201515470,K2,CANDIDATE,20.2073,,,2.12,,,,,,0.7624,
EPIC 201516974,K2,CANDIDATE,36.7099,,,,,,,5069.12,,5.33871,
EPIC 201521212,K2,CANDIDATE,19.565799,,,6.412,,,,4486.0,4.652,0.854,
EPIC 201528215,K2,CANDIDATE,6.39916,,,1.48,,,,,,0.7006,
EPIC 201534540,K2,CANDIDATE,2.72273204,,,,,,,8002.0,3.81097,2.85976,
EPIC 201541160,K2,CANDIDATE,15.695142,,,2.028,,,,4270.0,4.719,0.625,
EPIC 201543531,K2,CANDIDATE,2.48038,,,1.44,,,,,,1.27,
EPIC 201546136,K2,CANDIDATE,1.9668579,,,1.51,,,,5063.0,,0.77,
EPIC 201555883,K2,FALSE_POSITIVE,,,,,,,,4419.0,,0.52,
EPIC 201556134,K2,CANDIDATE,12.726743,,,1.91,,,,4767.0,,0.73,
EPIC 201561956,K2,CANDIDATE,13.2359,,,2.09,,,,,,0.924,
EPIC 201563164,K2,CANDIDATE,0.18746328,,,217.0,,,,46696.0,,17.27,
EPIC 201565013,K2,CANDIDATE,8.6382631,,,8.53,,,,3720.0,,0.5,
EPIC 201569483,K2,FALSE_POSITIVE,5.7968861,,,24.2,,,,4721.0,,0.72,
EPIC 201577017,K2,CANDIDATE,0.4775252,,,20.1,,,,,,0.522,
EPIC 201577112,K2,CANDIDATE,22.197992,,,5.34,,,,3508.0,,0.4,
EPIC 201588420,K2,CANDIDATE,3.29163,,,1.17,,,,,,0.567,
EPIC 201595106,K2,CONFIRMED,0.877214,,,1.3,,,,5820.0,4.6,0.93,
EPIC 201596733,K2,CANDIDATE,2.8964139,,,2.45,,,,3547.0,,0.42,
EPIC 201606542,K2,CANDIDATE,0.44433632,,,1.01,,,,5208.0,,0.8,
K2-166,K2,CONFIRMED,3.80464,,,1.22,,,,,,,
EPIC 201617985,K2,CANDIDATE,7.28161,,,1.78,,,,3742.0,,0.49,
EPIC 201619647,K2,CANDIDATE,4.58328,,,2.21,,,,,,0.545,
EPIC 201626686,K2,CANDIDATE,5.28081,,,10.9,,,,6227.0,3.676,3.01,
EPIC 201631267,K2,CANDIDATE,440.0,,,16.3,,,,4600.0,,0.85,
EPIC 201635132,K2,CANDIDATE,30.0,,,22.8,,,,3400.0,,0.89,
EPIC 201639576,K2,CANDIDATE,7.655533,,,2.328,,,,5114.0,4.687,0.751,
EPIC 201649426,K2,FALSE_POSITIVE,27.770388,,,25.1,,,,4598.0,,0.71,
EPIC 201650711,K2,CANDIDATE,0.259669,,,0.77,,,,4340.0,4.25,0.69,
EPIC 201654498,K2,CANDIDATE,18.4502,,,2.52,,,,,,0.717,
K2-319,K2,CANDIDATE,35.621,,,1.89,,,,5440.0,4.512,0.898,
EPIC 201666578,K2,CANDIDATE,4.1333,,,1.2,,,,,,0.312,
EPIC 201683540,K2,CANDIDATE,1.9611469,,,5.93,,,,4166.0,,0.64,
EPIC 201702477,K2,CANDIDATE,40.7302,,,7.8,,,,5840.0,4.44,0.98,
EPIC 201705526,K2,CANDIDATE,18.10220826,,,,,,,6141.1,3.88145,2.04778,
EPIC 201717159,K2,CANDIDATE,0.60408352,,,2.26,,,,4331.0,,0.67,
EPIC 201717274,K2,CANDIDATE,3.52743,,,1.11,,,,3624.0,5.014,0.257,
EPIC 201720401,K2,CANDIDATE,6340.0,,,12.8,,,,4800.0,,0.88,
EPIC 201729655,K2,CANDIDATE,9.321691,,,17.325,,,,5089.0,4.712,0.678,
EPIC 201732557,K2,CANDIDATE,6.662,,,1.59,,,,,,0.483,
K2-16,K2,CONFIRMED,2.71578,,,1.03,,,,,,,
EPIC 201757695,K2,CONFIRMED,2.0478,,,0.90819,,,,4520.0,4.659,0.655,
EPIC 201775904,K2,CANDIDATE,,,,35.0,,,,,,1.266,
EPIC 201779067,K2,FALSE_POSITIVE,27.27048734,,,,,,,5990.87,3.66162,2.564,
EPIC 201785059,K2,CANDIDATE,1.395336,,,0.76,,,,,,0.28,
EPIC 201793642,K2,CANDIDATE,15.3791,,,1.89,,,,,,0.336,
EPIC 201828749,K2,CANDIDATE,33.5107,,,2.14,,,,5683.0,4.5,0.896,
K2-50,K2,CONFIRMED,3.96151,,,1.0,,,,,,,
EPIC 201837434,K2,CANDIDATE,6.97251,,,2.01,,,,,,0.6252,
EPIC 201841433,K2,CONFIRMED,4.1698,,,1.04,,,,5053.0,4.595,0.628461,
EPIC 201846824,K2,CANDIDATE,2.89465,,,1.75,,,,,,0.702,
EPIC 201856786,K2,CANDIDATE,3.83794,,,1.51,,,,,,0.809,
EPIC 201892470,K2,CANDIDATE,2790.0,,,12.2,,,,5100.0,,0.93,
EPIC 201896171,K2,CANDIDATE,8.91058,,,2.8,,,,,,1.028,
EPIC 201920032,K2,CANDIDATE,28.2692,,,3.35,,,,5631.0,4.2,1.29,
EPIC 201923289,K2,CANDIDATE,0.782022,,,1.58,,,,,,0.94,
EPIC 201925324,K2,CANDIDATE,15.4769,,,2.89,,,,,,0.66,
EPIC 201927336,K2,CANDIDATE,6.4498648,,,2.63,,,,5395.0,,0.85,
EPIC 201928106,K2,FALSE_POSITIVE,1.19478,,,1.65,,,,3671.0,5.053,0.235,
EPIC 201929294,K2,FALSE_POSITIVE,,,,,,,,4786.0,,0.7,
EPIC 202059377,K2,FALSE_POSITIVE,1.5771832,,,33.4,,,,8210.0,,1.94,
EPIC 202060800,K2,CANDIDATE,3.262038,,,,,,,10318.0,,5.27397,
EPIC 202062450,K2,CANDIDATE,4.4654,,,45.0,,,,,,2.3,
EPIC 202064253,K2,CANDIDATE,21.140574,,,31.5,,,,6205.0,,1.29,
EPIC 202065819,K2,CANDIDATE,5.74372,,,,,,,,,,
EPIC 202066192,K2,CANDIDATE,3.2923818,,,19.6,,,,7824.0,,1.87,
EPIC 202066537,K2,CANDIDATE,6.90487,,,53.0,,,,6599.0,4.241,1.45,
EPIC 202066811,K2,CANDIDATE,1.696374,,,35.3,,,,,,1.793,
EPIC 202071289,K2,CANDIDATE,3.046136,,,76.0,,,,,,1.698,
EPIC 202071401,K2,CANDIDATE,3.23792,,,,,,,4500.0,4.67558,0.639668,
EPIC 202071635,K2,CANDIDATE,6.2719092,,,60.0,,,,7254.0,,1.81,
EPIC 202071645,K2,FALSE_POSITIVE,23.7782,,,98.0,,,,7498.0,4.03,2.09,
EPIC 202071725,K2,CANDIDATE,1.42636,,,6.66,,,,,,4.28,
EPIC 202072596,K2,CANDIDATE,3.979287,,,37.5,,,,7430.0,,1.84,
EPIC 202072965,K2,CANDIDATE,2.1417519,,,86.2,,,,6492.0,,1.59,
EPIC 202084970,K2,CANDIDATE,2.86136,,,,,,,3697.0,4.73628,0.50129,
EPIC 202085553,K2,CANDIDATE,3.10622,,,,,,,3636.0,4.73641,0.501135,
EPIC 202085597,K2,CANDIDATE,1.814553,,,,,,,4618.0,,10.0566,
EPIC 202085698,K2,CANDIDATE,17.1541,,,,,,,4930.0,,16.1325,
EPIC 202085934,K2,CANDIDATE,12.1507,,,1.48,,,,,,0.83,
EPIC 202086291,K2,CANDIDATE,2.4343734,,,61.4,,,,5568.0,,0.9,
EPIC 202086968,K2,CANDIDATE,1.8490876,,,17.3,,,,5693.0,,0.96,
EPIC 202088212,K2,CANDIDATE,2.620724,,,11.7,,,,6013.0,,1.14,
EPIC 202089657,K2,CANDIDATE,1.314437,,,3.09990986,,,,6009.0,4.09,1.472064,
EPIC 202090152,K2,CANDIDATE,4.8045244,,,3.62,,,,6187.0,,1.28,
EPIC 202090723,K2,CANDIDATE,6.14818,,,,,,,6591.31,,2.29043,
EPIC 202090737,K2,CANDIDATE,1.49761,,,,,,,,,,
EPIC 202091388,K2,CANDIDATE,6.479656,,,3.33165021,,,,5586.0,4.5,0.921539,
EPIC 202092480,K2,CANDIDATE,2.8445331,,,65.3,,,,6045.0,,1.16,
EPIC 202092559,K2,CANDIDATE,0.6687,,,2.22,,,,,,1.942,
EPIC 202092782,K2,CANDIDATE,13.3461,,,42.0,,,,,,2.575,
EPIC 202093020,K2,CANDIDATE,4.13737,,,24.5,,,,,,1.03,
EPIC 202093968,K2,CANDIDATE,2.469851,,,6.6,,,,,,1.479,
EPIC 202094740,K2,CANDIDATE,0.690458,,,,,,,6912.12,,1.50882,
EPIC 202126847,K2,CANDIDATE,4.1687922,,,16.1,,,,6005.0,,1.14,
EPIC 202126853,K2,CANDIDATE,21.17051,,,81.0,,,,,,2.536,
EPIC 202126884,K2,CANDIDATE,5.31937553733,,,19.66846395,,,,6350.0,3.78918,2.36934,
EPIC 202126887,K2,FALSE_POSITIVE,12.86772,,,71.0,,,,6861.0,4.11,1.79,
EPIC 202126888,K2,FALSE_POSITIVE,1.8461222,,,19.5,,,,7536.0,,1.82,
EPIC 202137637,K2,CANDIDATE,6.6223,,,,,,,5000.0,,5.54598,
EPIC 202139294,K2,CANDIDATE,0.5217136,,,452.0,,,,,,11.27,
EPIC 202565282,K2,CANDIDATE,11.975818,,,8.43,,,,3320.0,,0.28,
EPIC 202600948,K2,CANDIDATE,5.9895,,,2.04,,,,,,1.03,
EPIC 202634963,K2,CANDIDATE,28.707623,,,21.2,,,,5838.0,,1.03,
EPIC 202675839,K2,CANDIDATE,15.4715,,,9.2,,,,5791.0,4.005,1.89,
EPIC 202688980,K2,CANDIDATE,1.4556637,,,,,,,6520.0,4.03395,1.84406,
EPIC 202710713,K2,CANDIDATE,3.3262396,,,1.16,,,,3404.0,,0.33,
EPIC 202774883,K2,CANDIDATE,13.1426,,,200.0,,,,,,13.9,
EPIC 202821899,K2,CANDIDATE,4.474513,,,8.16881084,,,,6081.0,3.88,2.221057,
EPIC 202843107,K2,CANDIDATE,2.1989041,,,46.6,,,,4938.0,,0.75,
EPIC 202893157,K2,CANDIDATE,4.1657292,,,1.86,,,,3442.0,,0.36,
EPIC 202963882,K2,FALSE_POSITIVE,0.6308,,,,,,,,,,
EPIC 202971774,K2,CANDIDATE,0.2358684,,,6.1,,,,,,1.792,
EPIC 203042994,K2,CANDIDATE,12.99109,,,43.0,,,,,,4.5,
EPIC 203070421,K2,CANDIDATE,1.7359447,,,1.89,,,,5354.0,,0.84,
EPIC 203099398,K2,CANDIDATE,1.8389349,,,0.837,,,,3930.0,,0.58,
EPIC 203139512,K2,CANDIDATE,2.032664,,,1.92,,,,,,0.535,
EPIC 203294831,K2,CANDIDATE,1.859017,,,64.0,,,,6842.0,4.01,2.03,
EPIC 203311200,K2,CANDIDATE,540.0,,,5.7,,,,5200.0,,0.94,
EPIC 203476597,K2,FALSE_POSITIVE,1.4408,,,,,,,4154.0,,1.58859,
EPIC 203485624,K2,FALSE_POSITIVE,0.841202,,,82.0,,,,6237.0,3.85,2.31,
EPIC 203518244,K2,CANDIDATE,0.8411257,,,0.884,,,,4289.0,,0.66,
EPIC 203533312,K2,CANDIDATE,0.17566,,,3.11,,,,6620.0,4.19,1.15,
EPIC 203560204,K2,CANDIDATE,29.33873041,,,,,,,3171.0,4.71253,0.528528,
EPIC 203581469,K2,FALSE_POSITIVE,22.7984,,,9.0,,,,6195.0,4.18,1.37,
EPIC 203616858,K2,CANDIDATE,1.68027,,,2.9,,,,,,1.275,
EPIC 203623230,K2,CANDIDATE,2.54427583,,,,,,,8188.0,3.71913,3.23826,
EPIC 203633064,K2,CANDIDATE,0.7099504,,,80.0,,,,,,2.065,
EPIC 203692610,K2,FALSE_POSITIVE,1.8204,,,,,,,3112.0,4.72526,0.5139,
EPIC 203710387,K2,FALSE_POSITIVE,2.809,,,,,,,2901.0,4.75991,0.474383,
EPIC 203753577,K2,CANDIDATE,3.400858,,,14.1,,,,,,0.983,
K2-24,K2,CANDIDATE,,,,7.51,,,,,,1.249,
EPIC 203784668,K2,CANDIDATE,,,,,,,,3095.0,,,
EPIC 203823381,K2,FALSE_POSITIVE,8.2781,,,,,,,6520.0,,,
EPIC 203849738,K2,FALSE_POSITIVE,0.6199,,,,,,,2978.0,4.65423,0.596423,
EPIC 203867512,K2,CANDIDATE,28.46762,,,37.0,,,,,,1.97,
EPIC 203868608,K2,FALSE_POSITIVE,4.5417,,,,,,,2897.0,4.61636,0.641751,
EPIC 203914123,K2,CANDIDATE,83830.0,,,12.0,,,,4000.0,,0.74,
EPIC 203925865,K2,CANDIDATE,8.79689,,,4.85,,,,,,2.047,
EPIC 203929178,K2,CANDIDATE,1.153886,,,99.0,,,,6841.0,4.09,1.8,
EPIC 203942067,K2,CANDIDATE,1.6398934,,,33.0,,,,5175.0,,0.79,
EPIC 204043888,K2,FALSE_POSITIVE,1.486243,,,58.0,,,,5991.0,3.984,1.87,
EPIC 204057095,K2,CANDIDATE,23.210585,,,5.7,,,,5244.0,,0.81,
EPIC 204124270,K2,CANDIDATE,1.330023,,,44.0,,,,,,2.4,
EPIC 204128016,K2,CANDIDATE,50.73641,,,10.31,,,,,,1.349,
EPIC 204143627,K2,FALSE_POSITIVE,1.124,,,,,,,3074.0,4.73262,0.50547,
HIP 80474,K2,FALSE_POSITIVE,0.7474,,,,,,,,,,
EPIC 204197636,K2,CANDIDATE,46.1373,,,2.6,,,,,,0.723,
EPIC 204276894,K2,CANDIDATE,1.957,,,,,,,3913.0,,45.3731,
EPIC 204308061,K2,CANDIDATE,22.6398,,,1.27,,,,,,0.862,
EPIC 204312847,K2,CANDIDATE,24.193613,,,30.7,,,,5457.0,,0.87,
EPIC 204322265,K2,CANDIDATE,2.784496,,,2.09,,,,,,0.256,
EPIC 204346718,K2,CANDIDATE,0.64292573,,,,,,,2914.0,4.86227,0.362033,
EPIC 204364515,K2,FALSE_POSITIVE,1.4562,,,,,,,,,,
EPIC 204432860,K2,FALSE_POSITIVE,2.8742,,,,,,,3648.0,,1.41662,
EPIC 204489514,K2,CANDIDATE,10.2236,,,132.0,,,,6960.0,4.05,2.04,
HIP 78977,K2,FALSE_POSITIVE,1.6281,,,,,,,5691.0,3.56677,2.74444,
EPIC 204529573,K2,CANDIDATE,2.7518,,,0.669,,,,,,0.647,
EPIC 204546592,K2,CANDIDATE,,,,133.0,,,,,,8.12,
EPIC 204576757,K2,CANDIDATE,23.277669,,,32.8,,,,4379.0,,0.68,
EPIC 204579445,K2,CANDIDATE,24.6842,,,2.49,,,,,,1.17,
EPIC 204634789,K2,CANDIDATE,2.2,,,8.4,,,,4800.0,,0.87,
EPIC 204649811,K2,CANDIDATE,2.6454165,,,9.47,,,,5179.0,,0.79,
EPIC 204658292,K2,CANDIDATE,20.98296043,,,,,,,4822.0,4.59235,0.739921,
EPIC 204676499,K2,CANDIDATE,1.5271792,,,,,,,5359.0,4.49859,0.899453,
K2-365,K2,CANDIDATE,7.8392,,,1.46,,,,,,1.115,
HIP 78168,K2,FALSE_POSITIVE,9.2048,,,,,,,11886.0,3.82208,3.61562,
EPIC 204763194,K2,CANDIDATE,2.32046168,,,,,,,,,,
EPIC 204791347,K2,CANDIDATE,1.94297,,,2.571,,,,3197.0,4.846,0.436,
EPIC 204873331,K2,FALSE_POSITIVE,1.3178719,,,62.0,,,,,,1.975,
EPIC 204880394,K2,CANDIDATE,0.2338108,,,,,,,,,,
EPIC 204882444,K2,FALSE_POSITIVE,1.1488,,,,,,,3429.0,4.07241,0.984957,
EPIC 204884005,K2,CANDIDATE,46.38363,,,3.22,,,,,,0.762,
EPIC 204888276,K2,CANDIDATE,16.56127,,,0.957,,,,,,0.258,
EPIC 204914585,K2,CANDIDATE,18.357773,,,1.74,,,,4937.0,,0.75,
EPIC 204990932,K2,CANDIDATE,21.9184,,,3.18,,,,,,0.72,
EPIC 204991696,K2,CANDIDATE,49.8558,,,3.29,,,,,,1.359,
EPIC 205029914,K2,CANDIDATE,4.9818921,,,2.66,,,,5849.0,,1.04,
EPIC 205040048,K2,CANDIDATE,3.3055191,,,1.27,,,,3430.0,,0.35,
EPIC 205046529,K2,FALSE_POSITIVE,1.8361,,,,,,,,,,
EPIC 205047565,K2,CANDIDATE,14.5444413,,,,,,,,,,
EPIC 205050711,K2,CANDIDATE,4.30221683,,,,,,,7168.62,3.42072,4.08069,
EPIC 205064326,K2,FALSE_POSITIVE,8.02678456,,,,,,,4708.46,,5.5996,
EPIC 205084841,K2,CANDIDATE,11.31028,,,18.9,,,,,,1.44,
EPIC 205145448,K2,CANDIDATE,16.63311,,,44.0,,,,5700.0,3.84,2.19,
EPIC 205146011,K2,CANDIDATE,1.057171,,,1.51,,,,,,1.004,
EPIC 205148699,K2,FALSE_POSITIVE,4.377326,,,27.0,,,,5928.0,4.08,1.43,
EPIC 205152172,K2,CANDIDATE,0.980414,,,1.58,,,,4202.0,4.758,0.66,
EPIC 205170731,K2,CANDIDATE,14.2005,,,2.36,,,,,,0.786,
EPIC 205205452,K2,CANDIDATE,28.8077,,,2.08,,,,,,0.215,
EPIC 205224877,K2,CANDIDATE,3.75927,,,68.0,,,,,,10.7,
EPIC 205242733,K2,CANDIDATE,2.41628,,,2.68,,,,,,1.01,
EPIC 205252523,K2,CANDIDATE,4.4984354,,,3.12,,,,4309.0,,0.66,
EPIC 205377483,K2,CANDIDATE,0.3938505,,,13.7,,,,,,2.16,
EPIC 205463986,K2,CANDIDATE,2.3240489,,,33.4,,,,5107.0,,0.78,
EPIC 205470347,K2,CANDIDATE,1.86732,,,0.648,,,,,,0.693,
EPIC 205483055,K2,CANDIDATE,22.9735,,,2.61,,,,,,1.067,
EPIC 205483258,K2,FALSE_POSITIVE,5.6683,,,,,,,3521.0,4.14993,0.956267,
EPIC 205489894,K2,CANDIDATE,14.658196,,,1.6,,,,3610.0,,0.45,
EPIC 205503762,K2,CANDIDATE,6.4349,,,2.47,,,,,,1.493,
EPIC 205530323,K2,CANDIDATE,4.27065,,,7.6,,,,,,1.5,
EPIC 205570849,K2,CANDIDATE,16.858,,,5.6,,,,5957.0,4.351,1.07,
EPIC 205618538,K2,CANDIDATE,2.167697,,,12.14,,,,,,2.489,
EPIC 205632508,K2,CANDIDATE,19.2299,,,1.96,,,,,,0.612,
EPIC 205652650,K2,CANDIDATE,5.07152,,,3.2,,,,,,0.426,
EPIC 205703094,K2,CANDIDATE,8.1191,,,57.0,,,,6040.0,4.32,1.2,
EPIC 205938820,K2,CANDIDATE,4.20773,,,1.47,,,,,,0.834,
EPIC 205939498,K2,CANDIDATE,1.1761477,,,19.3,,,,,,2.38,
EPIC 205943325,K2,CANDIDATE,27.270191,,,2.5,,,,6171.0,4.129,1.612,
EPIC 205944181,K2,CANDIDATE,2.475527,,,42.0,,,,5962.0,4.4,1.06,
EPIC 205947161,K2,CANDIDATE,17.7256773,,,15.4613,,,,6010.0,4.06,1.63,
EPIC 205947214,K2,CANDIDATE,54.169832,,,22.0,,,,3836.0,,0.55,
K2-168,K2,CONFIRMED,8.050722,,,1.31,,,,5502.7,,0.83,
EPIC 205951125,K2,CANDIDATE,6.79143,,,1.72,,,,,,0.609,
EPIC 205957328,K2,CANDIDATE,14.353438,,,2.159584,,,,5317.0,4.59,0.82797,
EPIC 205962305,K2,CANDIDATE,1.88282,,,2.6,,,,,,0.257,
EPIC 205969319,K2,CANDIDATE,6.4756,,,1.85,,,,,,1.339,
EPIC 205976958,K2,CANDIDATE,2.31803,,,2.34,,,,,,0.589,
